Request,Priority,"Submitted by",Comments,Assignee,Status,Completed,"Due Date",Description,Attachments,"Loblaw PM Owner",Scope,"Design effort",State
"PHR - V2 specs",,U08TNKBEB7W,,U0AF7NL95PY,"Design Specs",false,,,,,,,
"Record Retrieval",,U08TNKBEB7W,,U0AF7NL95PY,Done,true,,,,,,,
"April 14th presentation slides",,U08TNKBEB7W,,U09BS66S47M,Done,true,,,,,,,
"Triage ""long"" summary from Doctronic",Medium,U08TNKBEB7W,,U0AD6D01N4D,Prioritized,false,,https://late-checkout.slack.com/archives/C0AARQGD8N8/p1776098765048259,,U0A9ESVU0KS,,,
"Memory - Change, Remove, Delete",,U09BS66S47M,,,Backlog,false,,,,,,,
"User testing - Personalization",,U09BS66S47M,,,Backlog,false,,,,,,,
"Visual styling for V1",,U08TNKBEB7W,,U09BS66S47M,"In Product Review",false,,,,,,,
,,U0A8JDEKLJ2,,,Backlog,false,,,,,,,
"Conversation End Handling",High,U0A8JDEKLJ2,"<@U04MK7C1H26> - added details + requirements
<@U08TNKBEB7W> - can you please take a look?",U04MK7C1H26,Backlog,false,,"When Remedy detects a red flag scenario (self-harm, violence, medical emergency, etc), the backend ends the conversation and surfaces a safety response with crisis resources. We need UX specs for how this end state looks and behaves.


_1. Hard end message treatment_
• Visually distinct from normal assistant messages (banner/icon/color) so user registers it as escalation
• Serious tone without being alarming for someone in crisis
_2. CTA presentation_
• Crisis resources (911, 988, Poison Control, ConnexOntario, etc.) come from backend as structured links
• How do phone / SMS / URL CTAs render — buttons, link list, or grouped card?
• Tap targets sized for stress states (one-handed, shaky hands)
_3. Disabled composer state_
• Input + send disabled after hard end
• Helper text copy below composer
• Greyed out, hidden, or replaced?
_4. Recovery affordance_
• ""Start a new conversation"" entry point
• Placement: inline below message, sticky bottom, or both?
• Button styling + copy
_5. Conversation history treatment_
• Marker for hard-ended threads in history list (icon/label/color)
• Read-only state when reopened: CTAs tappable, composer disabled
_6. Edge states_
• Hard end arrives mid-stream while normal response is rendering
• App backgrounded then reopened after hard end
• Network failure during hard end render",,,v1.0,,
"v1 Starting Prompt Chips",Medium,U0929BQGD5H,,U0AD6D01N4D,"In progress",false,2026-04-28,"Team is requesting copy updates to the starting prompt chips, see attached doc and then please mockup examples and a default starting screen with new chips

https://docs.google.com/document/d/1EUzkLyqxP9SGvNe6KV8FiBLBam1GW-YfgjAuTKHZw0Y/edit?usp=sharing",,mbock@Shoppersdrugmart.ca,,,
Onboarding,,U09BS66S47M,,,Done,true,,,,,"Long-term Discovery",,Duplicate
"Voice & Multimodal Input",,U08TNKBEB7W,,,Backlog,false,,"Users often struggle to describe symptoms, medication names, or health concerns through typing alone. Voice input combined with image sharing would enable more natural, comprehensive health conversations and better support for users with accessibility needs or complex descriptions.

*Design Requirements / Cases to Consider*
• Voice-to-text integration
• Voice input UI patterns (press-and-hold vs. toggle recording)
• Combination flows: voice description + image of symptoms/medications
• Error handling for unclear audio or failed voice recognition
• Conversation flow integration - how voice inputs appear in chat history
",,,"Long-term Discovery",,
"[MVP][Mobile] Clear MVP Entry Point",Medium,U08TNKBEB7W,"Link to designs",,Done,true,,"Define and finalize MVP entry point for Remedy on mobile

*Description*
Users currently lack a predictable, prominent way to discover and launch Remedy inside the SDM and PCH apps. For MVP, we need to finalize a single, clear entry point that is clear for users, is consistent across apps, and unblocks engineering implementation for MVP.
Note: This work is focused on the MVP placement only. Longer-term entry point concepts (e.g., Discover, search repurposing) are explicitly out of scope for this ticket and can be tackled in the longer-term design task ticket!


*Design requirements / cases to consider*
• First-time user discovery vs returning user re-entry
• Consistency across SDM and PCH app surfaces
• Visual prominence without overwhelming the primary app experience
• How the entry point behaves once a user has active or past conversations
• Accessibility and clarity of labeling (what is Remedy, what happens when tapped)
• Future scalability (ability to evolve placement post-MVP without redesigning everything)",,U0A8JDEKLJ2,v1.0,XL,
"Explain intents additional components",High,U08TNKBEB7W,"Figma link",U0A7RFFSHK9,Done,true,,"*Goal*
Design 4 additional components for the Explain intent that will help make the experience truly differentiated from other chat-based AI tools (ex ChatGPT)

*Context*
We started work on the explain intent components and tackled the critical pieces first (ex: summary component, hyperlinks, etc). The goal with this ticket is to go beyond “walls of text” and show how we can make an impact on the experience using more thoughtful chat UI

*What needs to be designed*
• Comparison lists
• Expandable definitions
• Text component
• Layered explanations
*Output*
Explain components and example end-to-end flows.

Figma link",,U0A8JDEKLJ2,v1.1,M,
"[MVP] User Journey Set E2E flows",High,U08TNKBEB7W,"<@U0A8JDEKLJ2> Refactored this ticket to be a prototype of the doctronic system that will be available at launch only. there's a separate ticket for a post-mvp prototype that has been de prioritized (in the parking lot

full proto lives here: https://www.figma.com/design/cKsRu32uAlYS3tklgxnlyr/-SHARED--Loblaw-Digital---Project-Remedy-MVP?node-id=3706-158744&t=PgDTbLiZXMxYiOlR-11",U09BS66S47M,Done,true,2026-02-20,,,U0A8JDEKLJ2,v1.0,L,
"Consent & permission flows",High,U08TNKBEB7W,Figma,U0A7RFFSHK9,Done,true,,"• Consent flows (how users accept content + privacy policies)
    ◦ If no personalization consent has been given yet, ask for it
• Usage disclosure MUST be accepted/continue
• PCC consent is optional and allows users to consent Loblaw to use medication data to personalize their experience
• Design the flow for location permissions and any other permissions that are required in this experience
Additional resources:
• Miro flow of consent flows (see attached photo)
• Usage Disclosure draft
• Figma of current PCC screens",F0ADUE93K2A,U0A8JDEKLJ2,v1.0,M,
"Explain Intent – Component Design",High,U08TNKBEB7W,"link to figma section is here",U09BS66S47M,Done,true,,"*Goal*
Design how Remedy explains health topics in a way that is clear, credible, and appropriately scoped.

*Context*
Explain responses are often the first interaction users have. They must feel authoritative without pretending to diagnose or prescribe.

*What needs to be designed*
Design explain responses using the core response structure, including optional “when to seek care” guidance and source visibility. Ensure tone is informative, not alarmist.

*Output*
Explain components and example end-to-end flows.",,U0A8JDEKLJ2,v1.0,S,
"Navigation / Care Routing Intent",High,U08TNKBEB7W,"Link to Designs:
• Figma section
• Video walkthrough
Update:
MVP scope TBD - most likely we will be updating the designs to simplify scope for MVP. <@U0A8JDEKLJ2> to send update on Thursday 26th feb


---

<@U0A9P5FFR4H> closing and moving to done, now that we have our refinement ticket",U0AF7NL95PY,Done,true,,"*Goal*
Help users understand where to go in the Canadian healthcare system and when.

*Context*
A major Remedy differentiator is turning confusion into direction. Navigation responses must be actionable and localized.

*What needs to be designed*
Design navigation responses that present ranked care options, timeframes, and clear reasoning. Include CTAs for workflows where applicable.

*Output*
Navigation flows and reusable resource list components.

*Navigation PRD:*  https://coda.io/d/Digital-Health_dm2IMuVAYhm/Navigation_suRdqE94#_luz7HI-E",,U0A9P5FFR4H,v1.0,L,Blocked
"Sources & Verifiability UX",High,U08TNKBEB7W,"Figma file ",U09BS66S47M,Done,true,,"*Goal*
Make sources visible and understandable without overwhelming users.

*Context*
Trust depends on verifiability. Users should know where information comes from and its limitations.

*What needs to be designed*
Design citation display patterns, expandable source details, and limitation messaging that fits naturally into responses.

*Output*
Source components and usage guidelines.",,U0A8JDEKLJ2,v1.0,M,
"Batched vs Streaming responses",High,U08TNKBEB7W,"Decision documented here",U08TNKBEB7W,Done,true,,"Run a product investigation to validate whether the Remedy MVP UI can support streaming responses that include structured components. This work will assess FE/BE feasibility, rendering behaviour, and technical constraints associated with dynamically creating and updating components (e.g. banners, text blocks, citations) during a streamed response.

The goal is to de-risk the rendering strategy by confirming that the interface can correctly interpret section markers, maintain component ordering, and handle progressive content updates without layout instability or UX regressions.

*Outcome*
 • Clear feasibility assessment
 • Identified technical risks / constraints
 • Recommendation on MVP readiness",,U0A8JDEKLJ2,v1.0,,
"Chat History Access",Medium,U08TNKBEB7W,"Figma: History Section",U0A7RFFSHK9,Done,true,,"Design chat history access for Remedy conversations

*Description*
Users currently cannot reliably find or return to past Remedy conversations, which breaks continuity and trust. We need an obvious, low-friction way for users to view and resume previous chats across both apps.
This experience should reinforce that Remedy conversations persist over time and that users can safely come back to them.

*Design requirements / cases to consider*
• Entry point to history (where it lives and how users find it)
• Empty state vs populated history
• Resuming a previous conversation vs starting a new one
• Managing history (e.g., view, delete, clear) without over-complication
• Cross-app consistency (SDM vs PCH)
• How history behaves alongside personalization and context reuse
Figma location
Specs",,U0A8JDEKLJ2,v1.0,M,
"Triage Intent UI (Urgent vs Non-Urgent)",,U08TNKBEB7W,"<@U0A8JDEKLJ2>
Here are a few scenarios mapped out for the Triage UI intent using the current Doctronic experience. I’ve also included the ideal experience we should be aiming for in the MVP.

Link

I’ve added notes under some screens where the current flow doesn’t feel aligned with the intended triage behaviour.
Could you please review and let us know whether the experience looks appropriate, or if any UI adjustments are needed",U0AF7NL95PY,Done,true,,"Design triage UI for urgent and non-urgent health scenarios

*Description*
Triage responses must clearly communicate urgency and recommended next steps. The UI should prevent under-reaction in serious cases and unnecessary panic in low-risk ones. This ticket defines the MVP triage patterns and escalation visuals.

*Design requirements / cases to consider*
• Clear differentiation between urgent and non-urgent states
• Red-flag visual treatment and interruption of normal flow
• Immediate actions vs informational guidance
• Accessibility and comprehension under stress
• Consistency across similar triage scenarios
• Safe failure modes if confidence is low

As we are moving forward with Doctronics, we are defining what the included capabilities are. Requirements to be defined.",,U0A96QM0XQD,v1.0,,
"Medication Guidance UX",Medium,U08TNKBEB7W,,U0AF7NL95PY,Done,true,,"*Initial description:* Provides safe, clear guidance on prescription and over-the-counter medications and supplements, including usage, side effects, interactions, coverage context, and neutral comparisons where appropriate. People often ask whether a medication is safe to take, what to watch for, or how it fits into their overall care.

*User & moment*
_Who is this for? What situation are they in when they ask this?_
• Has a prescription or OTC medication question
• Wants to understand side effects, interactions, or contraindications
• Trying to understand coverage (e.g., ODB) or get a rough sense of cost
• Wants reassurance or clarification about a medication they’re taking or were prescribed
• Experiencing a symptom and wondering if it could be medication-related
*User goal (in their words)*
_“I want to know ___ so I can ___.”_
• “I want to know how to take this safely so I can avoid side effects.”
• “I want to know if this medication could be causing my symptoms so I know what to do next.”
• “I want to know if this is covered so I can plan my purchase.”
• “I want to know what risks to watch for so I’m not caught off guard.”
*System job*
_What must the system help them decide or do?_
• Clarify which medication(s) the question applies to
• Explain safe use, common side effects, and meaningful risks in plain language
• Incorporate relevant context when available (other meds, known conditions, age)
• Help the user decide whether to monitor, adjust behaviour, or seek professional help
• Set clear boundaries around what requires a pharmacist or clinician
*Happy path (MVP)*
_Step-by-step, plain language. No UI details. No components._
1. User asks a medication-related question
2. System clarifies the medication and the nature of the concern
3. System provides clear, grounded guidance with citations where relevant
4. Systems informs about coverage under insurance
5. System explains common vs concerning effects or interactions
6. System offers a clear next step (monitor, talk to a pharmacist, seek care)
*Decision point*
_What choice or action should the user be confident in by the end?_
• “I understand how to take this safely.”
• “I know whether this symptom could be related to my medication.”
• “I know if I should talk to a pharmacist or clinician next.”
• “I understand whether coverage applies and what that means for me.”
*Trust requirements*
_What would make this feel unsafe, confusing, or untrustworthy?_
• Contradictory or inconsistent answers across similar questions
• Information that feels incomplete or overly vague
• Language that is alarmist or, conversely, dismissive of risk
• Lack of clarity around what the system can and cannot advise
• Coverage information that is outdated or inaccurate
*Explicit non-goals (MVP)*
_What are we not doing yet?_
• Diagnosing conditions based on symptoms
• Changing doses or prescribing medications
• Managing complex polypharmacy
• Completing medication purchases or refills in chat
• Replacing pharmacist or clinician judgment
• Providing precise or personalized cost estimates
• not altering details or language of response based on medication risk tiering (i.e. be more cautious while responding about riskier meds)

Relevant medication screen from personalization ticket",,"U0A8JDEKLJ2, U0A9P5FFR4H",v1.1,,
"Personalization + Transparency UX",Medium,U08TNKBEB7W,,U09BS66S47M,Done,true,,"Design personalization and transparency patterns for Remedy

*Description*
When Remedy uses personal data, abstains from answering, or expresses uncertainty, users need to understand why. This ticket focuses on the UI patterns that explain system behavior and preserve trust.

*Design requirements / cases to consider*
• Explaining data provenance (how Remedy knows something)
• Abstention messaging and next steps
• Communicating uncertainty clearly and calmly
• Handoffs to human or external support
• Consistency across intents
• Avoiding over-technical explanations
Figma section (exploration)
Figma section (second iteration)


MVP Doctronic:

*Requirements:*
1. Changes needed for the citation inspector components. 
    a. If the response sends just a source and no hyperlink -> Then it should just show the source. User will not be able to click into the source
    b. If the response sends a source + hyperlink then current behavior remains (user can click -> opens up a page -> user can navigate back to the chat)
    c. Remove the ""grounding"" text -> with doctronic integration we will not be able to get the grounding text. 
Need these changes to be implemented on the designs.",,U0A8JDEKLJ2,v1.0,M,
"Contextual Conversation Chips (Start + Continue)",Medium,U08TNKBEB7W,,U0AF7NL95PY,Done,true,,"Design contextual conversation chips to guide user follow-ups

*Description*
Users often don’t know what to ask next, which can stall conversations or end sessions prematurely. We need contextual chips that help users start a conversation and continue it meaningfully based on the current intent and response.
This is about increasing confidence and momentum, not constraining what users can ask.

*Design requirements / cases to consider*
• First message chips vs mid-conversation chips
• Chips generated from intent vs generic suggestions
• How chips change after a user selects one
• Avoiding repetition or irrelevant suggestions
• ~Clear distinction between suggestions vs actions~
• Accessibility and tap targets on mobile",,U0A8JDEKLJ2,v1.1,M,
"Red-Flag Escalation Components",High,U08TNKBEB7W,,U0A7RFFSHK9,Done,true,,"Design red-flag escalation components for critical scenarios

*Description*
In high-risk scenarios, Remedy must interrupt the normal conversational flow and make next actions unmistakably clear. This ticket focuses specifically on the escalation UI components themselves, separate from triage logic.
The goal is fast comprehension and safe action under stress.

*Design requirements / cases to consider*
• Visual hierarchy that clearly signals urgency
• When escalation interrupts vs augments a response
• Primary vs secondary actions (call, book, learn more)
    ◦ https://coda.io/d/Digital-Health_dm2IMuVAYhm/Red-Flag-Escalation-Scenarios-and-Handling_sudn_xat?docIds=m2IMuVAYhm&search=CHAOS#Red-Flag[…]vdYZpN86P
• Web vs app behaviours. App is higher priority. Should it open on the phone app? Or somewhere else? Show how each app will open the links/phone calls
• Consistency across different red-flag scenarios

Red Flag Scenarios: https://coda.io/d/Digital-Health_dm2IMuVAYhm/Red-Flag-Escalation-Scenarios_sudn_xat?docIds=m2IMuVAYhm&search=CHAOS#Red-Flag-Escala[…]Id=c-XvdYZpN86P",,U0A8JDEKLJ2,v1.0,M,
"Manage chronic conditions",,U08TNKBEB7W,,,Backlog,false,,"*User & moment*
• Lives with a known chronic condition or multiple chronic conditions
• Recently diagnosed and unsure what to expect
• Managing their condition day to day and trying to stay stable or improve
• Experiencing a flare, worsening symptoms, or a change from baseline
*User goal (in their words)*
“I want to understand how to manage my condition and know what to do next.”
I want to know what symptoms to watch for and whether they are improving or not
I want to understand my condition in plain language.

*System job*
Help the user *understand, manage, and respond to their condition* by providing clinically grounded guidance on what’s expected, what they can do day to day, and when to seek further care — without replacing their care team.

*Happy path*
• Clarify the condition and the user’s current context (new diagnosis, stable management, or flare/change)
• Explain key management principles and what “normal” looks like for this condition
• Help the user assess whether their current experience is *expected vs concerning*
• Provide practical, condition-appropriate self-management guidance where safe
• Recommend clear next steps or follow-up when escalation is needed
*Decision point*
“What should I do next to manage my condition right now?”
What symptoms should I watch out for and monitor?
Understanding how to monitor my symptoms
Knowing what improvement or worsening looks like

*Trust requirements*
• Feels informed by clinical best practice
• Respects that users may already have experience managing their condition
• Avoids alarmism while clearly identifying red flags
• Is transparent about limits and when clinician involvement is important
*Explicit non-goals (MVP)*
• Creating personalized or long-term care plans
• Medication titration, dosing changes, or prescribing decisions
• Ongoing coaching, tracking, or goal monitoring
• Replacing clinician follow-up or care team guidance
",,U0A96QM0XQD,v1.1,,
"Post-MVP Triage experience",,U08TNKBEB7W,"Hi <@U0A8JDEKLJ2>, I’ve added the initial set of generic input UI components for the conversational triage flow. When you have a moment, could you take a look and let me know if this direction makes sense?

Here is the link",U0A8JDEKLJ2,Done,true,,"Current MVP triage (Doctronic) relies on text-only conversations where users often miss questions buried in paragraph responses, creating accuracy issues in health contexts. We need to design structured UI components that extract questions from AI responses into interactive forms, making triage more efficient and comprehensive.

*Design Requirements / Cases to Consider*
• Question extraction from AI responses into structured form components
• Multi-step triage flows with progress indication
• Component types: sliders (pain rating), multi-select, single-select, body part picker
• Fallback to text input when structured components insufficient
• Error handling when users skip required triage steps
",,,v1.1,,
